--------- beginning of main
09-10 07:34:58.214   165   165 W linker  : Warning: failed to find generated linker configuration from "/linkerconfig/ld.config.txt"
09-10 07:34:58.215   166   166 W linker  : Warning: failed to find generated linker configuration from "/linkerconfig/ld.config.txt"
09-10 07:34:58.222   161   161 I lowmemorykiller: Using psi monitors for memory pressure detection
09-10 07:34:58.223   161   161 I lowmemorykiller: Process polling is supported
09-10 07:34:58.223   161   161 I lowmemorykiller: Process reaper initialized with 2 threads in the pool
09-10 07:34:52.480   160   160 W auditd  : type=2000 audit(0.0:1): state=initialized audit_enabled=0 res=1
09-10 07:34:57.468   160   160 W auditd  : type=1403 audit(0.0:2): auid=4294967295 ses=4294967295 lsm=selinux res=1
09-10 07:34:57.468   160   160 W auditd  : type=1404 audit(0.0:3): enforcing=1 old_enforcing=0 auid=4294967295 ses=4294967295 enabled=1 old-enabled=1 lsm=selinux res=1
09-10 07:34:57.512     1     1 W /system/bin/init: type=1107 audit(0.0:4): uid=0 auid=4294967295 ses=4294967295 subj=u:r:init:s0 msg='avc:  denied  { set } for property=persist.sys.usb.config pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:system_prop:s0 tclass=property_service permissive=0'
09-10 07:34:58.254   172   172 I qemu-props: successfully set property 'vendor.qemu.sf.fake_camera' to 'none'
09-10 07:34:58.254   172   172 I qemu-props: successfully set property 'qemu.hw.mainkeys' to '0'
09-10 07:34:58.254   172   172 I qemu-props: successfully set property 'qemu.sf.lcd_density' to '280'
09-10 07:34:58.254   172   172 I qemu-props: successfully set property 'vendor.net.wifi_mac_prefix' to '5554'
09-10 07:34:58.254   172   172 I qemu-props: successfully set property 'vendor.qemu.timezone' to 'Etc/UTC'
09-10 07:34:58.254   172   172 W qemu-props: could not open '/sys/class/virtio-ports/vport7p1/name'
09-10 07:34:58.254   172   172 I qemu-props: successfully set property 'vendor.qemu.vport.bluetooth' to '/dev/vport7p2'
09-10 07:34:58.254   172   172 W qemu-props: could not open '/sys/class/virtio-ports/vport7p0/name'
09-10 07:34:58.254   172   172 I qemu-props: successfully set property 'vendor.qemu.vport.modem' to '/dev/vport8p1'
09-10 07:34:58.265   166   166 I hwservicemanager: getFrameworkHalManifest: Reading VINTF information.
09-10 07:34:58.278   166   166 I hwservicemanager: Loaded APEX Infos from /bootstrap-apex/apex-info-list.xml
09-10 07:34:58.278   166   166 I hwservicemanager: getDeviceHalManifest: Reading VINTF information.
09-10 07:34:58.289   166   166 I hwservicemanager: Loaded APEX Infos from /bootstrap-apex/apex-info-list.xml
09-10 07:34:58.290   166   166 I hwservicemanager: getDeviceHalManifest: Successfully processed VINTF information
09-10 07:34:58.290   166   166 I hwservicemanager: getFrameworkHalManifest: Successfully processed VINTF information
09-10 07:34:58.292   166   166 I hwservicemanager: hwservicemanager is ready now.
09-10 07:34:58.511   187   187 I HidlServiceManagement: Registered android.hardware.atrace@1.0::IAtraceDevice/default
09-10 07:34:58.511   187   187 I HidlServiceManagement: Removing namespace from process name android.hardware.atrace@1.0-service to atrace@1.0-service.
09-10 07:34:58.527   166   166 I hwservicemanager: getTransport: Cannot find entry android.system.suspend@1.0::ISystemSuspend/default in either framework or device VINTF manifest.
